id,name,iso639P3code,latitude,longitude,family_id,country_ids
lund1271,Lundayeh,lnd,4.25064,115.5,aust1307,BN ID MY
maan1238,Ma'anyan,mhy,-2.1239,115.092,aust1307,ID
maba1278,Maba (Indonesia),mqa,0.59011,128.418,aust1307,ID
made1253,Salawati,xmx,-1.05325,130.833,aust1307,ID
maib1239,Maybrat,ayz,-1.3679,132.591,mayb1237,ID
main1275,Usun Apau Kenyah,xkl,3.42975,116.47431,aust1307,ID MY
maiw1250,Maiwa (Indonesia),wmm,-3.59444,119.978,aust1307,ID
maka1305,Makassar Malay,mfp,-5.16108,119.408,aust1307,ID
maka1311,Makasar,mak,-5.65551,119.838,aust1307,ID
makl1246,Maklew,mgf,-7.74424,139.273,bula1259,ID
mala1479,Central Malay,zlm,1.85856,103.0,aust1307,ID MY SG TH
mala1480,Malayic Dayak,xdy,-2.78384,111.136,aust1307,ID
mala1481,Manado Malay,xmm,1.48099,124.843,aust1307,ID
mali1283,Malimpung,mli,-3.6996,119.76,aust1307,ID
mama1276,Mamasa,mqj,-3.0811,119.484,aust1307,ID
mamb1305,Mamboru,mvd,-9.42302,119.55,aust1307,ID
mamu1255,Mamuju,mqx,-2.50762,119.082,aust1307,ID
mand1442,Mandar,mdr,-3.34717,119.068,aust1307,ID
mand1443,Mander,mqr,-2.29479,138.751,toro1256,ID
mand1444,Mandobo Atas,aax,-5.69357,140.624,nucl1709,ID
mand1445,Mandobo Bawah,bwp,-6.37255,140.451,nucl1709,ID PG
mane1266,Manem,jet,-2.99145,141.02,bord1247,ID PG
mang1405,Manggarai,mqy,-8.55748,120.329,aust1307,ID
mani1235,Sougb,mnx,-1.49611,133.95,east1459,ID
mani1297,Manipa,mqp,-3.30342,127.565,aust1307,ID
mano1275,Manombai,woo,-5.94468,134.329,aust1307,ID
mans1260,Mansim,,-0.915054,134.011116,hata1242,ID
manu1258,Manusela,wha,-3.1109,129.429,aust1307,ID
mapi1250,Mapia,mpy,0.908889,134.304722,aust1307,ID
mara1397,Marau,mvr,-1.66738,135.797,aust1307,ID
mare1261,Maremgi,mrx,-2.31915,139.673,toro1256,ID
mari1430,Mariri,mqi,-6.15097,134.88107,aust1307,ID
masi1265,Masimasi,ism,-2.00717,139.04,aust1307,ID
masi1266,Masiwang,bnf,-3.29547,130.601,aust1307,ID
mass1263,Massep,mvs,-1.74679,138.294,,ID
matb1237,Matbat,xmt,-1.8801,130.075,aust1307,ID
mawe1251,Mawes,mgk,-2.36944,139.752,,ID
maya1282,Misool-Salawati Ma'ya,slz,-1.22329,130.909,aust1307,ID
