nama	kelas	n_pemakai	homograf_kbbi
Usman	orang:nama-depan	5	tidak
Anis	orang:nama-depan	5	ya
Armando	orang:nama-depan	5	tidak
Aulia	orang:nama-depan	5	ya
Bagas	orang:nama-depan	5	ya
Basri	orang:nama-depan	5	tidak
Ben	orang:nama-depan	5	tidak
Kelly	orang:nama-depan	5	tidak
Surya	orang:nama-depan	5	ya
Sartono	orang:nama-depan	5	tidak
Norman	orang:nama-depan	5	tidak
Patricia	orang:nama-depan	5	tidak
Juan	orang:nama-depan	5	tidak
Tamara	orang:nama-depan	5	tidak
Sofyan	orang:nama-depan	5	tidak
Tito	orang:nama-depan	5	tidak
Vanessa	orang:nama-depan	5	tidak
Victoria	orang:nama-depan	5	tidak
Wanda	orang:nama-depan	5	ya
Naomi	orang:nama-depan	5	tidak
Rizal	orang:nama-depan	5	tidak
Marius	orang:nama-depan	5	tidak
Markus	orang:nama-depan	5	tidak
Nora	orang:nama-depan	5	tidak
Rommy	orang:nama-depan	5	tidak
Adinda	orang:nama-depan	5	ya
Emil	orang:nama-depan	5	tidak
Haris	orang:nama-depan	5	ya
April	orang:nama-depan	5	ya
Hanny	orang:nama-depan	5	tidak
Ribka	orang:nama-depan	5	tidak
Carlos	orang:nama-depan	5	tidak
Monika	orang:nama-depan	5	tidak
Elisa	orang:nama-depan	5	tidak
Dicky	orang:nama-depan	5	tidak
Maureen	orang:nama-depan	5	tidak
Valencia	orang:nama-depan	5	tidak
Made	orang:nama-depan	5	tidak
I	orang:nama-depan	5	tidak
Esther	orang:nama-depan	5	tidak
Sabrina	orang:nama-depan	5	tidak
Jacqueline	orang:nama-depan	5	tidak
Erika	orang:nama-depan	5	tidak
Katharina	orang:nama-depan	5	tidak
Salsabila	orang:nama-depan	5	tidak
Margaretha	orang:nama-depan	5	tidak
Pahala	orang:nama-depan	5	ya
Dinda	orang:nama-depan	5	ya
Wiratama	orang:nama-keluarga	5	tidak
Lomban	orang:nama-keluarga	5	tidak
Oei	orang:nama-keluarga	5	tidak
Situmorang	orang:nama-keluarga	5	tidak
Sutanto	orang:nama-keluarga	5	tidak
