token	kelas	kbbi_pos	kbbi_semantic_class
bunut	wilayah:kecamatan	Nomina	
buol	wilayah:kabupaten-kota	Nomina	proper
bura	wilayah:kecamatan	Nomina	
burhan	orang:nama-depan	Nomina	
bursa	organisasi:perusahaan	Nomina	
buru	wilayah:kabupaten-kota,wilayah:kecamatan	Verba	
burung	wilayah:kecamatan	Nomina	
buton	orang:nama-keluarga,wilayah:kabupaten-kota	Nomina	proper
butuh	wilayah:kecamatan	Verba	
buya	wilayah:kecamatan	Nomina	
buyung	organisasi:perusahaan	Nomina	
cabo	organisasi:perusahaan	Nomina	
cahaya	orang:nama-depan,organisasi:perusahaan	Nomina	
cakra	organisasi:perusahaan	Nomina	
cakrawala	organisasi:perusahaan	Nomina	
cakung	wilayah:kecamatan	Nomina	proper
candi	wilayah:kecamatan	Nomina	
candisari	wilayah:kecamatan	Nomina	proper
candra	orang:nama-depan		
candung	wilayah:kecamatan	Nomina	
cangkringan	wilayah:kecamatan	Nomina	locus
cap	organisasi:perusahaan	Nomina	
caraka	organisasi:perusahaan	Nomina	
cas	orang:nama-depan	Nomina	
catur	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
cemerlang	organisasi:perusahaan	Adjektiva	
cempa	wilayah:kecamatan	Nomina	
cempaka	wilayah:kecamatan	Nomina	
cendana	wilayah:kecamatan	Nomina	
cengal	wilayah:kecamatan		
cengkareng	wilayah:kecamatan	Nomina	proper
cepat	organisasi:perusahaan		
ceper	wilayah:kecamatan	Adjektiva	
cepu	wilayah:kecamatan	Nomina	
cermin	wilayah:kecamatan	Nomina	
ciamis	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
cianjur	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
cilacap	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
cilandak	wilayah:kecamatan	Nomina	proper
cilegon	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
cimahi	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
cina	wilayah:kecamatan	Nomina	proper
cinta	orang:nama-depan	Adjektiva	
cipayung	wilayah:kecamatan	Nomina	proper
cipta	organisasi:perusahaan	Nomina	
ciracas	wilayah:kecamatan	Nomina	proper
cirebon	wilayah:kabupaten-kota	Nomina	proper
cita	organisasi:perusahaan	Nomina	
citak	wilayah:kecamatan		
citra	orang:nama-depan,organisasi:perusahaan	Nomina	
cogok	wilayah:kecamatan	Adjektiva	
compreng	wilayah:kecamatan		
concong	wilayah:kecamatan	Adjektiva	
congo	orang:nama-keluarga	Nomina	
cuaca	wilayah:kecamatan	Nomina	
cun	orang:nama-depan	Nomina	
cupu	orang:nama-keluarga	Nomina	
cut	wilayah:kecamatan	Nomina	
dadap	wilayah:kecamatan	Nomina	
daerah	organisasi:perusahaan	Nomina	
dagangan	wilayah:kecamatan		
dagi	wilayah:kecamatan	Nomina	
dahlia	orang:nama-depan	Nomina	
dai	orang:nama-keluarga	Nomina	
dairi	wilayah:kabupaten-kota	Nomina	proper
dal	wilayah:kecamatan	Nomina	numeral
dalam	wilayah:kecamatan	Adjektiva	
dalil	orang:nama-keluarga	Nomina	
damai	organisasi:perusahaan,wilayah:kecamatan	Nomina	
damar	wilayah:kecamatan	Nomina	
dampal	wilayah:kecamatan	Nomina	
dampit	wilayah:kecamatan	Nomina	
dan	organisasi:perusahaan,wilayah:kabupaten-kota	Partikel	
dana	orang:nama-depan,organisasi:perusahaan		
